"","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y"
"507","Golden State Warriors","12/25/16",2016,3,11,4,"n","Jump Shot","3PT Field Goal",26,"Cleveland Cavaliers",148,214
"508","Golden State Warriors","12/25/16",2016,1,8,10,"n","Jump Shot","3PT Field Goal",27,"Cleveland Cavaliers",146,229
"509","Golden State Warriors","11/25/16",2016,2,2,21,"y","Jump Shot","2PT Field Goal",21,"Los Angeles Lakers",-178,124
"510","Golden State Warriors","11/25/16",2016,1,11,9,"n","Jump Shot","3PT Field Goal",24,"Los Angeles Lakers",63,241
"511","Golden State Warriors","11/25/16",2016,2,11,7,"y","Jump Shot","3PT Field Goal",22,"Los Angeles Lakers",228,26
"512","Golden State Warriors","11/25/16",2016,4,9,49,"n","Jump Shot","3PT Field Goal",25,"Los Angeles Lakers",52,246
"513","Golden State Warriors","11/25/16",2016,4,10,40,"y","Jump Shot","3PT Field Goal",24,"Los Angeles Lakers",-83,232
"514","Golden State Warriors","11/25/16",2016,4,8,36,"n","Jump Shot","2PT Field Goal",17,"Los Angeles Lakers",112,130
"515","Golden State Warriors","12/25/16",2016,3,6,7,"n","Jump Shot","3PT Field Goal",25,"Cleveland Cavaliers",50,252
"516","Golden State Warriors","12/25/16",2016,2,0,29,"y","Jump Shot","3PT Field Goal",24,"Cleveland Cavaliers",166,183
"517","Golden State Warriors","12/25/16",2016,4,1,55,"n","Jump Shot","2PT Field Goal",20,"Cleveland Cavaliers",-114,165
"518","Golden State Warriors","12/25/16",2016,4,11,44,"n","Jump Shot","2PT Field Goal",17,"Cleveland Cavaliers",173,7
"519","Golden State Warriors","12/8/16",2016,4,0,23,"n","Jump Shot","2PT Field Goal",13,"Utah Jazz",-73,115
"520","Golden State Warriors","12/8/16",2016,3,8,14,"y","Jump Shot","3PT Field Goal",24,"Utah Jazz",148,200
"521","Golden State Warriors","1/8/17",2016,3,8,2,"y","Jump Shot","3PT Field Goal",24,"Sacramento Kings",-189,159
"522","Golden State Warriors","1/8/17",2016,4,0,47,"y","Jump Shot","3PT Field Goal",24,"Sacramento Kings",-84,228
"523","Golden State Warriors","1/8/17",2016,1,7,0,"n","Jump Shot","3PT Field Goal",24,"Sacramento Kings",236,52
"524","Golden State Warriors","1/8/17",2016,1,0,33,"n","Jump Shot","2PT Field Goal",7,"Sacramento Kings",-1,72
"525","Golden State Warriors","1/8/17",2016,2,8,42,"y","Jump Shot","2PT Field Goal",17,"Sacramento Kings",76,154
"526","Golden State Warriors","1/8/17",2016,2,8,8,"n","Jump Shot","3PT Field Goal",25,"Sacramento Kings",51,247
"527","Golden State Warriors","2/27/17",2016,2,3,2,"n","Jump Shot","3PT Field Goal",27,"Philadelphia 76ers",-214,178
"528","Golden State Warriors","12/8/16",2016,4,11,9,"n","Jump Shot","2PT Field Goal",14,"Utah Jazz",-65,134
"529","Golden State Warriors","12/8/16",2016,3,10,51,"n","Jump Shot","3PT Field Goal",26,"Utah Jazz",-135,232
"530","Golden State Warriors","1/28/17",2016,1,7,5,"y","Jump Shot","3PT Field Goal",25,"Los Angeles Clippers",-124,223
"531","Golden State Warriors","1/20/17",2016,1,5,13,"n","Jump Shot","3PT Field Goal",25,"Houston Rockets",-6,252
"532","Golden State Warriors","1/20/17",2016,3,3,31,"n","Jump Shot","3PT Field Goal",25,"Houston Rockets",4,252
"533","Golden State Warriors","12/20/16",2016,3,11,20,"y","Jump Shot","2PT Field Goal",4,"Utah Jazz",-37,26
"534","Golden State Warriors","2/27/17",2016,3,7,20,"n","Jump Shot","2PT Field Goal",16,"Philadelphia 76ers",-6,160
"535","Golden State Warriors","2/27/17",2016,2,0,39,"n","Jump Shot","3PT Field Goal",25,"Philadelphia 76ers",53,247
"536","Golden State Warriors","2/8/17",2016,1,6,3,"n","Jump Shot","2PT Field Goal",16,"Chicago Bulls",-124,110
"537","Golden State Warriors","2/8/17",2016,3,1,12,"y","Jump Shot","3PT Field Goal",26,"Chicago Bulls",-34,262
"538","Golden State Warriors","2/8/17",2016,2,0,27,"n","Jump Shot","3PT Field Goal",28,"Chicago Bulls",-9,282
"539","Golden State Warriors","2/8/17",2016,1,7,21,"n","Jump Shot","2PT Field Goal",18,"Chicago Bulls",145,120
"540","Golden State Warriors","1/2/17",2016,1,11,43,"n","Jump Shot","2PT Field Goal",16,"Denver Nuggets",9,165
"541","Golden State Warriors","11/3/16",2016,1,3,9,"n","Jump Shot","2PT Field Goal",13,"Oklahoma City Thunder",128,28
"542","Golden State Warriors","11/3/16",2016,3,0,34,"n","Jump Shot","2PT Field Goal",11,"Oklahoma City Thunder",58,95
"543","Golden State Warriors","11/3/16",2016,2,3,29,"n","Jump Shot","3PT Field Goal",31,"Oklahoma City Thunder",-174,262
"544","Golden State Warriors","11/3/16",2016,2,2,55,"n","Jump Shot","2PT Field Goal",6,"Oklahoma City Thunder",-27,62
"545","Golden State Warriors","11/3/16",2016,2,0,2,"n","Jump Shot","3PT Field Goal",26,"Oklahoma City Thunder",192,178
"546","Golden State Warriors","11/3/16",2016,4,11,19,"n","Jump Shot","3PT Field Goal",26,"Oklahoma City Thunder",-217,149
"547","Golden State Warriors","11/3/16",2016,2,10,49,"y","Jump Shot","3PT Field Goal",26,"Oklahoma City Thunder",-196,174
"548","Golden State Warriors","12/20/16",2016,1,11,34,"n","Jump Shot","2PT Field Goal",14,"Utah Jazz",71,131
"549","Golden State Warriors","12/20/16",2016,1,8,49,"n","Jump Shot","3PT Field Goal",26,"Utah Jazz",6,262
"550","Golden State Warriors","11/16/16",2016,2,2,6,"n","Jump Shot","3PT Field Goal",26,"Toronto Raptors",-68,254
"551","Golden State Warriors","11/16/16",2016,3,2,53,"n","Jump Shot","3PT Field Goal",26,"Toronto Raptors",12,262
"552","Golden State Warriors","11/16/16",2016,2,8,51,"y","Jump Shot","3PT Field Goal",23,"Toronto Raptors",-184,154
"553","Golden State Warriors","11/16/16",2016,2,2,52,"y","Jump Shot","3PT Field Goal",26,"Toronto Raptors",-168,210
"554","Golden State Warriors","11/21/16",2016,1,0,4,"n","Jump Shot","3PT Field Goal",25,"Indiana Pacers",212,144
"555","Golden State Warriors","1/20/17",2016,4,6,57,"n","Jump Shot","3PT Field Goal",29,"Houston Rockets",156,247
"556","Golden State Warriors","1/20/17",2016,2,4,28,"n","Jump Shot","2PT Field Goal",6,"Houston Rockets",12,67
"557","Golden State Warriors","1/20/17",2016,2,4,4,"y","Jump Shot","3PT Field Goal",24,"Houston Rockets",177,174
"558","Golden State Warriors","1/20/17",2016,4,3,40,"y","Jump Shot","2PT Field Goal",20,"Houston Rockets",-168,120
"559","Golden State Warriors","1/20/17",2016,2,1,9,"n","Jump Shot","2PT Field Goal",17,"Houston Rockets",117,131
"560","Golden State Warriors","1/20/17",2016,1,2,35,"y","Jump Shot","3PT Field Goal",25,"Houston Rockets",89,242
"561","Golden State Warriors","1/20/17",2016,3,5,30,"n","Jump Shot","3PT Field Goal",26,"Houston Rockets",171,208
"562","Golden State Warriors","1/28/17",2016,1,4,54,"n","Jump Shot","3PT Field Goal",22,"Los Angeles Clippers",223,41
"563","Golden State Warriors","1/2/17",2016,3,3,47,"n","Jump Shot","3PT Field Goal",26,"Denver Nuggets",218,156
"564","Golden State Warriors","1/2/17",2016,4,3,13,"n","Jump Shot","3PT Field Goal",26,"Denver Nuggets",9,264
"565","Golden State Warriors","1/2/17",2016,2,9,51,"n","Jump Shot","2PT Field Goal",3,"Denver Nuggets",25,21
"566","Golden State Warriors","1/2/17",2016,2,8,9,"n","Jump Shot","2PT Field Goal",18,"Denver Nuggets",145,115
"567","Golden State Warriors","1/28/17",2016,2,1,3,"y","Jump Shot","3PT Field Goal",25,"Los Angeles Clippers",158,205
"568","Golden State Warriors","1/28/17",2016,2,5,14,"n","Jump Shot","2PT Field Goal",18,"Los Angeles Clippers",56,175
