"","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y"
"638","Golden State Warriors","2/28/17",2016,2,0,37,"y","Jump Shot","3PT Field Goal",26,"Washington Wizards",222,149
"639","Golden State Warriors","2/28/17",2016,2,11,45,"n","Jump Shot","3PT Field Goal",25,"Washington Wizards",222,126
"640","Golden State Warriors","2/28/17",2016,1,2,36,"n","Jump Shot","3PT Field Goal",31,"Washington Wizards",-66,311
"641","Golden State Warriors","2/28/17",2016,4,9,15,"n","Jump Shot","3PT Field Goal",25,"Washington Wizards",-68,247
"642","Golden State Warriors","2/28/17",2016,4,9,48,"n","Jump Shot","2PT Field Goal",17,"Washington Wizards",99,149
"643","Golden State Warriors","2/28/17",2016,3,7,58,"n","Jump Shot","3PT Field Goal",23,"Washington Wizards",233,31
"644","Golden State Warriors","2/28/17",2016,2,9,0,"n","Jump Shot","2PT Field Goal",4,"Washington Wizards",42,13
"645","Golden State Warriors","2/28/17",2016,3,8,27,"n","Jump Shot","3PT Field Goal",27,"Washington Wizards",91,264
"646","Golden State Warriors","2/28/17",2016,2,3,41,"n","Jump Shot","2PT Field Goal",15,"Washington Wizards",151,26
"647","Golden State Warriors","2/28/17",2016,2,4,41,"n","Jump Shot","3PT Field Goal",27,"Washington Wizards",202,183
"648","Golden State Warriors","1/29/17",2016,4,10,41,"n","Jump Shot","2PT Field Goal",21,"Portland Trail Blazers",105,185
"649","Golden State Warriors","1/29/17",2016,3,7,8,"n","Jump Shot","2PT Field Goal",19,"Portland Trail Blazers",107,164
"650","Golden State Warriors","1/29/17",2016,1,7,16,"y","Jump Shot","2PT Field Goal",14,"Portland Trail Blazers",0,141
"651","Golden State Warriors","1/29/17",2016,1,7,45,"y","Jump Shot","3PT Field Goal",25,"Portland Trail Blazers",-97,232
"652","Golden State Warriors","1/29/17",2016,4,0,37,"y","Jump Shot","3PT Field Goal",24,"Portland Trail Blazers",213,120
"653","Golden State Warriors","1/29/17",2016,2,7,46,"y","Jump Shot","2PT Field Goal",19,"Portland Trail Blazers",50,188
"654","Golden State Warriors","1/29/17",2016,2,8,41,"n","Jump Shot","3PT Field Goal",25,"Portland Trail Blazers",4,252
"655","Golden State Warriors","1/29/17",2016,3,11,44,"y","Jump Shot","2PT Field Goal",15,"Portland Trail Blazers",115,101
"656","Golden State Warriors","1/29/17",2016,2,11,39,"n","Jump Shot","3PT Field Goal",23,"Portland Trail Blazers",233,11
"657","Golden State Warriors","1/29/17",2016,2,10,26,"n","Jump Shot","2PT Field Goal",21,"Portland Trail Blazers",213,51
"658","Golden State Warriors","1/29/17",2016,1,4,36,"n","Jump Shot","3PT Field Goal",25,"Portland Trail Blazers",222,131
"659","Golden State Warriors","3/6/17",2016,3,3,22,"n","Jump Shot","3PT Field Goal",25,"Atlanta Hawks",218,139
"660","Golden State Warriors","3/6/17",2016,4,1,30,"n","Jump Shot","3PT Field Goal",25,"Atlanta Hawks",228,115
"661","Golden State Warriors","3/6/17",2016,3,3,55,"n","Jump Shot","3PT Field Goal",26,"Atlanta Hawks",46,257
"662","Golden State Warriors","3/6/17",2016,3,4,28,"y","Jump Shot","2PT Field Goal",19,"Atlanta Hawks",179,80
"663","Golden State Warriors","3/6/17",2016,1,8,17,"n","Jump Shot","3PT Field Goal",25,"Atlanta Hawks",-232,115
"664","Golden State Warriors","3/29/17",2016,2,0,3,"n","Jump Shot","3PT Field Goal",23,"San Antonio Spurs",235,8
"665","Golden State Warriors","3/29/17",2016,3,9,25,"n","Jump Shot","3PT Field Goal",23,"San Antonio Spurs",-233,41
"666","Golden State Warriors","3/29/17",2016,2,5,13,"y","Jump Shot","2PT Field Goal",17,"San Antonio Spurs",87,154
"667","Golden State Warriors","3/29/17",2016,4,1,30,"n","Jump Shot","3PT Field Goal",23,"San Antonio Spurs",-235,-11
"668","Golden State Warriors","3/29/17",2016,3,10,40,"y","Jump Shot","3PT Field Goal",24,"San Antonio Spurs",200,149
"669","Golden State Warriors","3/29/17",2016,2,10,37,"y","Jump Shot","2PT Field Goal",19,"San Antonio Spurs",179,85
"670","Golden State Warriors","3/29/17",2016,2,6,20,"y","Jump Shot","3PT Field Goal",24,"San Antonio Spurs",238,31
"671","Golden State Warriors","3/29/17",2016,1,6,50,"n","Jump Shot","3PT Field Goal",24,"San Antonio Spurs",-209,129
"672","Golden State Warriors","3/29/17",2016,4,7,53,"y","Jump Shot","3PT Field Goal",24,"San Antonio Spurs",166,183
"673","Golden State Warriors","3/29/17",2016,1,10,46,"n","Jump Shot","3PT Field Goal",26,"San Antonio Spurs",-2,264
"674","Golden State Warriors","3/29/17",2016,2,1,10,"y","Jump Shot","3PT Field Goal",29,"San Antonio Spurs",212,200
